Course Title,Course ID,City,University,State,Department Code,Course URL
Macromolecular Dynamics,721,New Haven,Yale University,Connecticut,MB&B,http://www.koofers.com/yale-university/mb-b/721-macromolecular-dynamics/
ElementsEffectiveLegal Writing,21619,New Haven,Yale University,Connecticut,LAW,http://www.koofers.com/yale-university/law/21619-elementseffectivelegal-writing/
Systems Cell Biology,604,New Haven,Yale University,Connecticut,CBIO,http://www.koofers.com/yale-university/cbio/604-systems-cell-biology/
Agrarian Societies,80054,New Haven,Yale University,Connecticut,F&ES,http://www.koofers.com/yale-university/f-es/80054-agrarian-societies/
Structural Pharmacology,502,New Haven,Yale University,Connecticut,PHAR,http://www.koofers.com/yale-university/phar/502-sem-in-pharmacology/
Fundamentals of Research,601,New Haven,Yale University,Connecticut,IBIO,http://www.koofers.com/yale-university/ibio/601-fundamentals-of-research/
U.S. Cinema: 1960 to Mid-1970s,416,New Haven,Yale University,Connecticut,AMST,http://www.koofers.com/yale-university/amst/416-us-cinema-1960-to-mid-1970s/
IndependentProjectsInPhysics,471,New Haven,Yale University,Connecticut,PHYS,http://www.koofers.com/yale-university/phys/471-independentprojectsinphysics/
Scene Study Lab,320,New Haven,Yale University,Connecticut,DRAM,http://www.koofers.com/yale-university/dram/320-scene-study-lab/
Development in South Asia,341,New Haven,Yale University,Connecticut,SAST,http://www.koofers.com/yale-university/sast/341-development-in-south-asia/
Ethnic Politics in the U.S.,223,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/223-ethnic-politics-in-the-us/
Intro to Latin Literature TR,159,New Haven,Yale University,Connecticut,LITR,http://www.koofers.com/yale-university/litr/159-intro-to-latin-literature-tr/
Intro Resrch Medieval History,540,New Haven,Yale University,Connecticut,HIST,http://www.koofers.com/yale-university/hist/540-intro-resrch-medieval-history/
IntrmEgypIII:LateEgyptnStories,151,New Haven,Yale University,Connecticut,EGYP,http://www.koofers.com/yale-university/egyp/151-intrmegypiii-lateegyptnstories/
IntlDimensionsOfInternalCnflct,267,New Haven,Yale University,Connecticut,INTS,http://www.koofers.com/yale-university/ints/267-intldimensionsofinternalcnflct/
AramaicSurveyI:FirstMillenBCE,531,New Haven,Yale University,Connecticut,SMTC,http://www.koofers.com/yale-university/smtc/531-aramaicsurveyi-firstmillenbce/
Modernist Remediations,965,New Haven,Yale University,Connecticut,ENGL,http://www.koofers.com/yale-university/engl/965-modernist-remediations/
PoliticalEconTurkey&MiddleEast,182,New Haven,Yale University,Connecticut,MMES,http://www.koofers.com/yale-university/mmes/182-politicaleconturkey-middleeast/
Health Care in the 21stC,221,New Haven,Yale University,Connecticut,EP&E,http://www.koofers.com/yale-university/ep-e/221-health-care-in-the-21stc/
Lies and Deception,336,New Haven,Yale University,Connecticut,PLSC,http://www.koofers.com/yale-university/plsc/336-lies-and-deception/
Directed Reading,993,New Haven,Yale University,Connecticut,ENAS,http://www.koofers.com/yale-university/enas/993-directed-reading/
Nonlinear Optics & Lasers,679,New Haven,Yale University,Connecticut,PHYS,http://www.koofers.com/yale-university/phys/679-nonlinear-optics-lasers/
Eating&WeightDisordersPracticm,813,New Haven,Yale University,Connecticut,PSYC,http://www.koofers.com/yale-university/psyc/813-eating-weightdisorderspracticm/
SpectacleStereotypes&BlackFilm,370,New Haven,Yale University,Connecticut,FILM,http://www.koofers.com/yale-university/film/370-media-the-movies-black-folk/
Aluminum Casting Design,682,New Haven,Yale University,Connecticut,ARCH,http://www.koofers.com/yale-university/arch/682-aluminum-casting-design/
Genres of Biblical Literature,144,New Haven,Yale University,Connecticut,RLST,http://www.koofers.com/yale-university/rlst/144-genres-of-biblical-literature/
Behavioral Perspectives on Mgt,562,New Haven,Yale University,Connecticut,MGT,http://www.koofers.com/yale-university/mgt/562-behavioral-perspectives-on-mgt/
Media: The Logic of Repetition,726,New Haven,Yale University,Connecticut,HSAR,http://www.koofers.com/yale-university/hsar/726-media-the-logic-of-repetition/
